school_number,school_name,instruction_type,charter_type,school_street_address,school_city,school_state,school_zip,school_site_street_address,school_site_city,school_site_state,school_site_zip,school_phone,school_fax,school_email_address,school_web_page_address,school_principal,grade_range,enrollment_as_of_oct_2012,school_status,school_status_date,update_date
'145906101,NORMANGEE EL,REGULAR INSTRUCTIONAL,,P O BOX 219,NORMANGEE,TX,77871-0219,116 SPUR THREE,NORMANGEE,TX,77871-0219,(936) 396-9999,(936) 396-6879,klee@normangeeisd.org,www.normangeeisd.org,MRS KRISTI LEE   ,'EE-05,242,Active, ,7/24/13 5:35
'145911102,LEON EL,REGULAR INSTRUCTIONAL,,12168 HWY 79 W,JEWETT,TX,75846,12168 HWY 79 W,JEWETT,TX,75846,(903) 626-1425,(903) 626-1440,ssmith@leonisd.net,,MR STEVE SMITH   ,'EE-05,353,Active, ,7/24/13 5:35
'146903101,DEVERS EL,REGULAR INSTRUCTIONAL,,P O BOX 488,DEVERS,TX,77538-0488,201 S CHISM,DEVERS,TX,77538-0488,(936) 549-7591,(936) 549-7085,eharris@deversisd.net,www.deversisd.net,ELIZABETH HARRIS   ,'EE-05,137,Active, ,7/24/13 5:35
'150901101,LLANO EL,REGULAR INSTRUCTIONAL,,1600 OATMAN ST,LLANO,TX,78643-2734,1600 OATMAN ST,LLANO,TX,78643-2734,(325) 247-5718,(325) 247-5731,drichardson@llanoisd.org,www.llanoisd.org,MS DARA RICHARDSON   ,'EE-05,416,Active, ,7/24/13 5:35
'150901102,PACKSADDLE EL,REGULAR INSTRUCTIONAL,,150 PIONEER LN,KINGSLAND,TX,78639,150 PIONEER LN,KINGSLAND,TX,78639,(325) 388-8129 ext:2267,(325) 388-7000,medmonson@llanoisd.org,www.llanoisd.org,MRS MAELA EDMONSON   ,'EE-05,505,Active,1/1/00,7/24/13 5:35
'152901155,BAYLESS EL,REGULAR INSTRUCTIONAL,,2115 58TH ST,LUBBOCK,TX,79412,2115 58TH ST,LUBBOCK,TX,79412,(806) 766-1655,(806) 766-1651,lisadavis@lubbockisd.org,,LISA DAVIS   ,'EE-05,674,Active,8/1/06,7/24/13 5:35
'152901156,BEAN EL,REGULAR INSTRUCTIONAL,,3001 AVE N,LUBBOCK,TX,79411,3001 AVE N,LUBBOCK,TX,79411,(806) 766-1666,(806) 766-1671,tthomas1885@lubbockisd.org,,THOMAS THOMAS   ,'EE-05,615,Active,8/1/06,7/24/13 5:35
'152901158,BOZEMAN EL,REGULAR INSTRUCTIONAL,,3101 E 2ND ST,LUBBOCK,TX,79403,3101 E 2ND ST,LUBBOCK,TX,79403,(806) 766-1677,(806) 766-1676,astephens@lubbockisd.org,,AMY STEPHENS   ,'EE-05,369,Active,7/5/05,7/24/13 5:35
'152901159,BROWN EL,REGULAR INSTRUCTIONAL,,2315 36TH ST,LUBBOCK,TX,79412,2315 36TH ST,LUBBOCK,TX,79412,(806) 766-0833,(806) 766-0832,stacisumners@lubbockisd.org,,STACI SUMNERS   ,'EE-05,450,Active,8/1/06,7/24/13 5:35
'152901160,DUPRE EL,REGULAR INSTRUCTIONAL,,2008 AVE T,LUBBOCK,TX,79411,2008 AVE T,LUBBOCK,TX,79411,(806) 766-1688,(806) 766-1691,rconkwright@lubbockisd.org,,ROBIN CONKWRIGHT   ,'EE-05,301,Active,8/1/06,7/24/13 5:35
'152901161,GUADALUPE EL,REGULAR INSTRUCTIONAL,,101 N AVE P,LUBBOCK,TX,79401,101 N AVE P,LUBBOCK,TX,79401,(806) 766-1699,(806) 766-1702,omendez@lubbockisd.org,,OFELIA MENDEZ   ,'EE-05,227,Active,8/1/06,7/24/13 5:35
'152901162,HARDWICK EL,REGULAR INSTRUCTIONAL,,1420 CHICAGO,LUBBOCK,TX,79416,1420 CHICAGO,LUBBOCK,TX,79416,(806) 766-0844,(806) 766-0842,mportwood@lubbockisd.org,,MELISSA PORTWOOD   ,'EE-05,423,Active,8/1/06,7/24/13 5:35
'152901163,HARWELL EL,REGULAR INSTRUCTIONAL,,4101 AVE D,LUBBOCK,TX,79404,4101 AVE D,LUBBOCK,TX,79404,(806) 766-1711,(806) 766-1706,salvarado@lubbockisd.org,,SEVERO ALVARADO   ,'EE-05,488,Active,7/5/05,7/24/13 5:35
'152901165,HODGES EL,REGULAR INSTRUCTIONAL,,5001 AVE P,LUBBOCK,TX,79412,5001 AVE P,LUBBOCK,TX,79412,(806) 766-1722,(806) 766-1730,rjackson@lubbockisd.org,,RUBY JACKSON   ,'EE-05,541,Active,7/5/05,7/24/13 5:35
'152901166,HONEY EL,REGULAR INSTRUCTIONAL,,3615 86TH ST,LUBBOCK,TX,79423,3615 86TH ST,LUBBOCK,TX,79423,(806) 766-0866,(806) 766-0864,pneeb@lubbockisd.org,,PHILLIP NEEB   ,'EE-05,417,Active,8/1/06,7/24/13 5:35
'152901168,JACKSON EL,REGULAR INSTRUCTIONAL,,201 VERNON,LUBBOCK,TX,79415,201 VERNON,LUBBOCK,TX,79415,(806) 766-1766,(806) 766-1760,emedrano@lubbockisd.org,,EDWINA MEDRANO   ,'EE-05,295,Active,8/1/06,7/24/13 5:35
'152901169,MCWHORTER EL,REGULAR INSTRUCTIONAL,,2711 FIRST,LUBBOCK,TX,79415,2711 FIRST,LUBBOCK,TX,79415,(806) 766-1799,(806) 766-1797,dlopez@lubbockisd.org,,DELMIRA LOPEZ   ,'EE-05,529,Active,8/1/06,7/24/13 5:35
'152901170,MAEDGEN EL,REGULAR INSTRUCTIONAL,,4401 NASHVILLE,LUBBOCK,TX,79413,4401 NASHVILLE,LUBBOCK,TX,79413,(806) 766-0877,(806) 766-0990,druecoleman@lubbockisd.org,,DRUE COLEMAN   ,'EE-05,403,Active,8/1/06,7/24/13 5:35
'152901173,MURFEE EL,REGULAR INSTRUCTIONAL,,6901 NASHVILLE DR,LUBBOCK,TX,79413,6901 NASHVILLE DR,LUBBOCK,TX,79413,(806) 766-0888,(806) 766-0886,gqnell@lubbockisd.org,,G Q NELL   ,'EE-05,330,Active,8/1/06,7/24/13 5:35
'152901174,OVERTON EL,REGULAR INSTRUCTIONAL,,2902 LOUISVILLE,LUBBOCK,TX,79410,2902 LOUISVILLE,LUBBOCK,TX,79410,(806) 766-0899,(806) 766-0895,aarcher@lubbockisd.org,,ANN ARCHER   ,'EE-05,376,Active,8/1/06,7/24/13 5:35
'152901175,PARKWAY EL,REGULAR INSTRUCTIONAL,,406 N ZENITH AVE,LUBBOCK,TX,79403,406 N ZENITH AVE,LUBBOCK,TX,79403,(806) 766-1811,(806) 766-1803,kword291261@lubbockisd.org,,KEVIN WORD   ,'EE-05,409,Active,7/5/05,7/24/13 5:35
'152901176,PARSONS EL,REGULAR INSTRUCTIONAL,,2811 58TH ST,LUBBOCK,TX,79413,2811 58TH ST,LUBBOCK,TX,79413,(806) 766-0911,(806) 766-0902,bbowman@lubbockisd.org,,BONNIE BOWMAN   ,'EE-05,412,Active,8/1/06,7/24/13 5:35
'152901177,RAMIREZ CHARTER SCHOOL,REGULAR INSTRUCTIONAL,,702 AVE T,LUBBOCK,TX,79401,702 AVE T,LUBBOCK,TX,79401,(806) 766-1833,(806) 766-1825,nparker@lubbockisd.org,,NANCY PARKER   ,'EE-05,482,Active,8/1/06,7/24/13 5:35
'152901178,RUSH EL,REGULAR INSTRUCTIONAL,,4702 15TH ST,LUBBOCK,TX,79416,4702 15TH ST,LUBBOCK,TX,79416,(806) 766-0933,(806) 766-0929,mmcgann@lubbockisd.org,,MARY MCGANN   ,'EE-05,415,Active,8/1/06,7/24/13 5:35
'152901179,SMITH EL,REGULAR INSTRUCTIONAL,,8707 DOVER,LUBBOCK,TX,79424,8707 DOVER,LUBBOCK,TX,79424,(806) 766-2022,(806) 798-0173,lalexander@lubbockisd.org,,LORI ALEXANDER   ,'EE-05,642,Active,8/1/06,7/24/13 5:35
'152901183,WATERS EL,REGULAR INSTRUCTIONAL,,3006 78TH ST,LUBBOCK,TX,79423,3006 78TH ST,LUBBOCK,TX,79423,(806) 766-6207,(806) 766-6209,kthornton@lubbockisd.org,,KAREN THORNTON   ,'EE-05,716,Active,8/1/06,7/24/13 5:35
'152901184,WESTER EL,REGULAR INSTRUCTIONAL,,4602 CHICAGO AVE,LUBBOCK,TX,79414,4602 CHICAGO AVE,LUBBOCK,TX,79414,(806) 766-0966,(806) 766-0962,jsims@lubbockisd.org,,JULIE SIMS   ,'EE-05,475,Active,8/1/06,7/24/13 5:35
'152901185,WHEATLEY EL,REGULAR INSTRUCTIONAL,,1802 E 28TH ST,LUBBOCK,TX,79404,1802 E 28TH ST,LUBBOCK,TX,79404,(806) 766-1877,(806) 766-1875,mrandle@lubbockisd.org,,MARGARET RANDLE   ,'EE-05,366,Active,7/5/05,7/24/13 5:35
'152901187,WHITESIDE EL,REGULAR INSTRUCTIONAL,,7508 ALBANY,LUBBOCK,TX,79424,7508 ALBANY,LUBBOCK,TX,79424,(806) 766-2088,(806) 766-2081,chrisbrown@lubbockisd.org,,CHRIS BROWN   ,'EE-05,549,Active,8/1/06,7/24/13 5:35
'152901189,WILSON EL,REGULAR INSTRUCTIONAL,,2807 25TH ST,LUBBOCK,TX,79410,2807 25TH ST,LUBBOCK,TX,79410,(806) 766-0922,(806) 766-0525,pfinney@lubbockisd.org,,PAULA FINNEY   ,'EE-05,494,Active,8/1/06,7/24/13 5:35
'152901190,WOLFFARTH EL,REGULAR INSTRUCTIONAL,,3202 ERSKINE,LUBBOCK,TX,79415,3202 ERSKINE,LUBBOCK,TX,79415,(806) 766-1899,(806) 766-1893,emontes@lubbockisd.org,,ELSA MONTEZ   ,'EE-05,476,Active,8/1/06,7/24/13 5:35
'152901191,WRIGHT EL,REGULAR INSTRUCTIONAL,,1302 ADRIAN ST,LUBBOCK,TX,79403,1302 ADRIAN ST,LUBBOCK,TX,79403,(806) 766-1911,(806) 766-1906,ddoyle@lubbockisd.org,,AMY STEPHENS   ,'EE-05,253,Active,8/1/06,7/24/13 5:35
'152901192,CENTENNIAL EL,REGULAR INSTRUCTIONAL,,1301 N UTICA,LUBBOCK,TX,79416,1301 N UTICA,LUBBOCK,TX,79416,(806) 766-1980,(806) 766-1982,ksmiley@lubbockisd.org,,KELLY SMILEY   ,'EE-05,734,Active,7/31/07,7/24/13 5:35
'152901194,ALDERSON EL,REGULAR INSTRUCTIONAL,,219 WALNUT AVE,LUBBOCK,TX,79403,219 WALNUT AVE,LUBBOCK,TX,79403,(806) 766-1500,(806) 766-1490,kword291261@lubbockisd.org,,KEVIN WORD   ,'EE-05,0,Under Construction,12/27/12,7/24/13 5:35
'152901195,MILLER EL,REGULAR INSTRUCTIONAL,,3802 60TH ST,LUBBOCK,TX,79413,3802 60TH ST,LUBBOCK,TX,79413,(806) 766-0855,(806) 766-0852,kbooe@lubbockisd.org,,KEVIN BOOE   ,'EE-05,0,Under Construction,12/27/12,7/24/13 5:35
'152901196,ERVIN EL,REGULAR INSTRUCTIONAL,,1802 E 28TH ST,LUBBOCK,TX,79404,1802 E 28TH ST,LUBBOCK,TX,79404,(806) 766-1877,(806) 766-1875,mrandle@lubbockisd.org,,MARGARET RANDLE   ,'EE-05,0,Under Construction,12/27/12,7/24/13 5:35
'152906101,LUBBOCK-COOPER SOUTH EL,REGULAR INSTRUCTIONAL,,16302 LOOP 493,LUBBOCK,TX,79423-9530,16302 LOOP 493,LUBBOCK,TX,79423-9530,(806) 863-7102,(806) 863-3830,FAlonzo@lcisd.net,www.lcisd.net,FRANCES ALONZO   ,'EE-05,659,Active,9/1/71,7/24/13 5:35
'152906104,LUBBOCK-COOPER WEST EL,REGULAR INSTRUCTIONAL,,10101 FULTON AVE,LUBBOCK,TX,79424,10101 FULTON AVE,LUBBOCK,TX,79424,(806) 776-0700,(806) 771-9970,cnettles@lcisd.net,www.lcisd.net,MS CHERIE NETTLES   ,'EE-05,592,Active,8/25/08,7/24/13 5:35
'152907105,WESTWIND EL,REGULAR INSTRUCTIONAL,,P O BOX 100,WOLFFORTH,TX,79382-0100,6401 43RD ST,LUBBOCK,TX,79407-3639,(806) 799-3731,(806) 799-1087,tnewberry@frenship.us,,MR TODD NEWBERRY   ,'EE-05,687,Active,7/1/94,7/24/13 5:35
'152907106,WILLOW BEND EL,REGULAR INSTRUCTIONAL,,P O BOX 100,WOLFFORTH,TX,79382,8816 13TH ST,LUBBOCK,TX,79416,(806) 796-0090,(806) 796-1517,kdawson@frenship.us,,MRS KATHY DAWSON   ,'EE-05,625,Active,10/17/06,7/24/13 5:35
'152907107,BENNETT EL,REGULAR INSTRUCTIONAL,,P O BOX 100,WOLFFORTH,TX,79382,101 DONALD PRESTON DR,WOLFFORTH,TX,79382,(806) 866-4443,(806) 866-4715,melliott@frenship.us,,MS MICHELLE ELLIOTT   ,'EE-05,783,Active,4/24/06,7/24/13 5:35
'153903101,O'DONNELL EL,REGULAR INSTRUCTIONAL,,P O BOX 487,O'DONNELL,TX,79351-0487,300 3RD ST,O'DONNELL,TX,79351-0487,(806) 428-3244,(806) 428-3277,sharlaedwards@esc17.net,odonnell.esc17.net,SHARLA EDWARDS   ,'EE-05,159,Active, ,7/24/13 5:35
'158901101,CHERRY EL,REGULAR INSTRUCTIONAL,,2509 8TH ST,BAY CITY,TX,77414-5398,2509 8TH ST,BAY CITY,TX,77414-5398,(979) 245-6341,(979) 245-1702,bgordon@bcblackcats.net,www.bcblackcats.net,MRS BARBARA GORDON   ,'EE-05,642,Active, ,7/24/13 5:35
'158901102,TENIE HOLMES EL,REGULAR INSTRUCTIONAL,,3200 5TH ST,BAY CITY,TX,77414-5515,3200 5TH ST,BAY CITY,TX,77414-5515,(979) 245-4818,(979) 245-1645,jgestlinbaum@bcblackcats.net,www.bcblackcats.net,MRS JESSICA ESTLINBAUM   ,'EE-05,655,Active, ,7/24/13 5:35
'158901104,ROBERTS EL,REGULAR INSTRUCTIONAL,,1212 WHITSON ST,BAY CITY,TX,77414-7018,1212 WHITSON ST,BAY CITY,TX,77414-7018,(979) 245-8331,(979) 245-1573,mcarroll@bcblackcats.net,www.bcblackcats.net,MRS MELISA CARROLL   ,'EE-05,531,Active, ,7/24/13 5:35
'160901101,BRADY EL,REGULAR INSTRUCTIONAL,,1003 W 11TH ST,BRADY,TX,76825-4527,205 W CHINA ST,BRADY,TX,76825-5330,(325) 597-2590,(325) 597-0490,techdept@bradyisd.org,www.bradyisd.org,MRS KELLEY HIRT   ,'EE-05,640,Active, ,7/24/13 5:35
'161914101,ALTA VISTA EL,REGULAR INSTRUCTIONAL,,3637 ALTA VISTA DR,WACO,TX,76706-3726,3637 ALTA VISTA DR,WACO,TX,76706-3726,(254) 662-3050,(254) 662-7353,lorraine.randazzo@wacoisd.org,altavista.wacoisd.org/cms/One.aspx,MS LORRAINE RANDAZZO   ,'EE-05,507,Active, ,7/24/13 5:35
'161914103,BELL'S HILL EL,REGULAR INSTRUCTIONAL,,2100 ROSS,WACO,TX,76706,2100 ROSS,WACO,TX,76706,(254) 754-4171,(254) 750-3559,bevil.cohn@wacoisd.org,bellshill.wacoisd.org/cms/One.aspx,MS BEVIL COHN   ,'EE-05,915,Active, ,7/24/13 5:35
'161914104,BROOK AVENUE EL,REGULAR INSTRUCTIONAL,,720 BROOK AVE,WACO,TX,76708,720 BROOK AVE,WACO,TX,76708,(254) 750-3562,(254) 750-3545,dara.delony@wacoisd.org,brookavenue.wacoisd.org/cms/One.aspx,MS DARA DELONY   ,'EE-05,433,Active,4/12/99,7/24/13 5:35
'161914105,CEDAR RIDGE EL,REGULAR INSTRUCTIONAL,,2115 MERIDIAN AVE,WACO,TX,76708-1617,2115 MERIDIAN AVE,WACO,TX,76708-1617,(254) 756-1241,(254) 750-3531,andrea.nolan@wacoisd.org,cedarridge.wacoisd.org/cms/One.aspx,MS ANDREA NOLAN   ,'EE-05,698,Active, ,7/24/13 5:35
'161914106,CRESTVIEW EL,REGULAR INSTRUCTIONAL,,1120 N NEW RD,WACO,TX,76710-4860,1120 N NEW RD,WACO,TX,76710-4860,(254) 776-1704,(254) 741-4910,brandon.cope@wacoisd.org,crestview.wacoisd.org/cms/One.aspx,MR BRANDON COPE   ,'EE-05,763,Active, ,7/24/13 5:35
'161914107,DEAN HIGHLAND EL,REGULAR INSTRUCTIONAL,,3300 MAPLE,WACO,TX,76707,3300 MAPLE,WACO,TX,76707,(254) 752-3751,(254) 750-3458,yolanda.williams@wacoisd.org,deanhighland.wacoisd.org/cms/One.aspx,MS YOLANDA WILLIAMS   ,'EE-05,780,Active, ,7/24/13 5:35
'161914110,J H HINES EL,REGULAR INSTRUCTIONAL,,301 GARRISON ST,WACO,TX,76704,301 GARRISON ST,WACO,TX,76704,(254) 753-1362,(254) 750-3799,robert.hall@wacoisd.org,jhhines.wacoisd.org/cms/One.aspx,MR ROBERT HALL   ,'EE-05,484,Active, ,7/24/13 5:35
'161914116,MOUNTAINVIEW EL,REGULAR INSTRUCTIONAL,,5901 BISHOP DR,WACO,TX,76710-2601,5901 BISHOP ST,WACO,TX,76710-2601,(254) 772-2520,(254) 741-4961,melissa.pritchard@wacoisd.org,mountainview.wacoisd.org/cms/One.aspx,MS MELISSA PRITCHARD   ,'EE-05,435,Active, ,7/24/13 5:35
'161914120,PARKDALE EL,REGULAR INSTRUCTIONAL,,6400 EDMOND,WACO,TX,76710-4315,6400 EDMOND,WACO,TX,76710-4315,(254) 772-2170,(254) 741-4979,marsha.henry@wacoisd.org,parkdale.wacoisd.org/cms/One.aspx,MS MARSHA HENRY   ,'EE-05,530,Active, ,7/24/13 5:35
'161914129,WEST AVENUE EL,REGULAR INSTRUCTIONAL,,1101 N 15TH ST,WACO,TX,76707,1101 N 15TH ST,WACO,TX,76707-0027,(254) 750-3900,(254) 750-3904,andreiafoster@wacoisd.org,westavenue.wacoisd.org/cms/One.aspx,MR JOSEPH ALEXANDER   ,'EE-05,402,Active,5/18/01,7/24/13 5:35
'161914130,SOUTH WACO EL,REGULAR INSTRUCTIONAL,,2104 GURLEY LN,WACO,TX,76706-2832,2104 GURLEY LN,WACO,TX,76706-2832,(254) 753-6802,(254) 750-3527,twana.lee@wacoisd.org,southwaco.wacoisd.org/cms/One.aspx,MS TWANA LEE   ,'EE-05,569,Active,7/26/88,7/24/13 5:35
'161916102,WEST EL,REGULAR INSTRUCTIONAL,,801 N REAGAN ST,WEST,TX,76691-1198,209 N HARRISON ST,WEST,TX,76691-1416,(254) 981-2200,(254) 826-7543,mscott@westisd.net,www.westisd.net/,MS MICHELE SCOTT   ,'EE-05,412,Active, ,7/24/13 5:35
'161923101,BOSQUEVILLE EL,REGULAR INSTRUCTIONAL,,7636 ROCK CREEK RD,WACO,TX,76708-7225,7636 ROCK CREEK RD,WACO,TX,76708-7225,(254) 752-6006 ext:7019,(254) 752-4909,brayke@bosqueville.k12.tx.us,www.bosqueville.k12.tx.us,MRS KELLY BRAY   ,'EE-05,298,Active,7/1/97,7/24/13 5:35
'163908103,CASTROVILLE ELEMENTARY,REGULAR INSTRUCTIONAL,,1000 MADRID,CASTROVILLE,TX,78009-0480,1000 MADRID,CASTROVILLE,TX,78009-0480,(830) 931-2117,(830) 931-3973,cindy.botello@mvisd.com,,BRENDA MANN   ,'EE-05,594,Active,6/2/04,7/24/13 5:35
'163908104,LACOSTE EL,REGULAR INSTRUCTIONAL,,P O BOX 280,LACOSTE,TX,78039-0280,16069 UVALDE ST,LACOSTE,TX,78039-0280,(830) 931-2243 ext:3000,(830) 985-3732,sharon.hale@mvisd.com,,MARINDA SANTOS   ,'EE-05,533,Active,6/2/04,7/24/13 5:35
'163908105,POTRANCO EL,REGULAR INSTRUCTIONAL,,190 CR 381 S,SAN ANTONIO,TX,78253,190 CR 381 S,SAN ANTONIO,TX,78253,(830) 931-2243 ext:2000,(830) 931-9575,laura.galindo@mvisd.com,,MR EDWARD BALDERAS   ,'EE-05,608,Active,8/22/05,7/24/13 5:35
'165902101,GREENWOOD EL,REGULAR INSTRUCTIONAL,,2700 FM 1379,MIDLAND,TX,79701-5330,10800 HWY 307,MIDLAND,TX,79706-5330,(432) 685-7821,(432) 685-7822,NGRAHAM@GREENWOOD.ESC18.NET,www.greenwood.esc18.net,MR BYRON MORELAND   ,'EE-05,1086,Active,7/17/87,7/24/13 5:35
'167901101,GOLDTHWAITE EL,REGULAR INSTRUCTIONAL,,P O BOX 608,GOLDTHWAITE,TX,76844-0608,1501 CAMPBELL ST,GOLDTHWAITE,TX,76844,(325) 648-3055,(325) 648-3528,d.wright@goldisd.net,www.goldisd.net,MRS DEE DEE WRIGHT   ,'EE-05,274,Active, ,7/24/13 5:35
'169902101,NOCONA EL,REGULAR INSTRUCTIONAL,,220 CLAY ST,NOCONA,TX,76255-2104,300 MONTAGUE HWY,NOCONA,TX,76255-2629,(940) 825-3151,(940) 825-4253,gilpatrick.peyton@noconaisd.net,www.noconaisd.net,MR GILPATRICK PEYTON   ,'EE-05,419,Active, ,7/24/13 5:35
'170904101,PARMLEY EL,REGULAR INSTRUCTIONAL,,600 N CAMPBELL ST,WILLIS,TX,77378-9297,600 N CAMPBELL ST,WILLIS,TX,77378-9297,(936) 856-1231,(936) 856-1239,jwiggins@willisisd.org,www.willisisd.org,JANIE WIGGINS   ,'EE-05,701,Active,7/1/90,7/24/13 5:35
'170906102,MAGNOLIA ELEMENTARY,REGULAR INSTRUCTIONAL,,P O BOX 638,MAGNOLIA,TX,77355-0638,31900 NICHOLS SAWMILL RD,MAGNOLIA,TX,77355-6033,(281) 356-6434,(281) 252-2150,info@magnoliaisd.org,www.magnoliaisd.org/schools/mes/mes.htm,MRS LINDA KENJURA   ,'EE-05,713,Active, ,7/24/13 5:35
'170906103,J L LYON ELEMENTARY,REGULAR INSTRUCTIONAL,,P O BOX 907,MAGNOLIA,TX,77355-0907,27035 NICHOLS SAWMILL RD,MAGNOLIA,TX,77355-3472,(281) 356-8115,(281) 252-2170,,www.magnoliaisd.org/schools/les/les.htm,TAMMY HALEY   ,'EE-05,841,Active, ,7/24/13 5:35
'170906105,WILLIE E WILLIAMS ELEMENTARY,REGULAR INSTRUCTIONAL,,P O BOX 320,MAGNOLIA,TX,77355-0320,18101 FM 1488,MAGNOLIA,TX,77355-5236,(281) 356-6866,(281) 252-2204,info@magnoliaisd.org,www.magnoliaisd.org/schools/wes/wes.htm,MRS AMY LOCKER   ,'EE-05,687,Active,7/1/95,7/24/13 5:35
'170906106,CEDRIC C SMITH,REGULAR INSTRUCTIONAL,,P O BOX 1166,MAGNOLIA,TX,77353,28747 HARDIN STORE RD,MAGNOLIA,TX,77354,(281) 252-2300,(281) 252-2304,lroman@magnoliaisd.org,www.magnoliaisd.org/ses,MRS LETTY ROMAN   ,'EE-05,685,Active, ,7/24/13 5:35
'170906107,NICHOLS SAWMILL ELEMENTARY,REGULAR INSTRUCTIONAL,,P O BOX 450,MAGNOLIA,TX,77353,28750 NICHOLS SAWMILL RD,MAGNOLIA,TX,77355,(281) 252-2133,(281) 252-2138,info@magnoliaisd.org,WWW.MAGNOLIAISD.ORG,MRS ERIN VANCE   ,'EE-05,660,Active,2/20/02,7/24/13 5:35
'170906108,TOM R ELLISOR EL,REGULAR INSTRUCTIONAL,,33040 EGYPT LN,MAGNOLIA,TX,77534,33040 EGYPT LN,MAGNOLIA,TX,77534,(281) 252-7400,(281) 252-7401,info@magnoliaisd.org,www.magnoliaisd.org,MR FOY CAMPBELL   ,'EE-05,713,Active,6/15/05,7/24/13 5:35
'170906109,MAGNOLIA PARKWAY EL,REGULAR INSTRUCTIONAL,,PO BOX 460,MAGNOLIA,TX,77353,11745 FM 1488,MAGNOLIA,TX,77354,(281) 252-2440,(281) 252-7446,mjohnston@magnoliaisd.org,,MRS STACEY ZIELONKA   ,'EE-05,642,Active,8/15/08,7/24/13 5:35
'170908101,PORTER EL,REGULAR INSTRUCTIONAL,,22256 FORD RD,PORTER,TX,77365-9653,22256 FORD RD,PORTER,TX,77365-9653,(281) 577-2920,(281) 354-7583,newcaney@newcaneyisd.org,,MRS TRISH BEATHARD   ,'EE-05,634,Active, ,7/24/13 5:35
'170908102,NEW CANEY EL,REGULAR INSTRUCTIONAL,,20501 FM 1485,NEW CANEY,TX,77357-9107,20501 F M 1485,NEW CANEY,TX,77357-9107,(281) 399-1400,(281) 399-2174,newcaney@newcaneyisd.org,www.newcaneyisd.org,MRS LESLIE THOMAS   ,'EE-05,600,Active, ,7/24/13 5:35
'170908104,A M AIKIN EL,REGULAR INSTRUCTIONAL,,600 DOGWOOD LN,NEW CANEY,TX,77357-3142,600 DOGWOOD LN,NEW CANEY,TX,77357-3142,(281) 577-2900,(281) 399-9946,newcaney@newcaneyisd.org,www.newcaneyisd.org,MRS TRINA PERSSON   ,'EE-05,680,Active,7/26/79,7/24/13 5:35
'170908106,ROBERT CRIPPEN EL,REGULAR INSTRUCTIONAL,,18690 CUMBERLAND BLVD,PORTER,TX,77365-3632,18690 CUMBERLAND BLVD,PORTER,TX,77365-3632,(281) 577-8740,(281) 354-6823,newcaney@newcaneyisd.org,www.newcaneyisd.org,MR JAMIE DICKINSON   ,'EE-05,797,Active,7/1/96,7/24/13 5:35
'170908107,KINGS MANOR EL,REGULAR INSTRUCTIONAL,,21111 ROYAL CROSSING DR,KINGWOOD,TX,77339,21111 ROYAL CROSSING DR,KINGWOOD,TX,77339,(281) 577-2940,(281) 359-6391,newcaney@newcaneyisd.org,www.newcaneyisd.org,MS MALINDA KING   ,'EE-05,691,Active,10/26/00,7/24/13 5:35
'170908109,VALLEY RANCH EL,REGULAR INSTRUCTIONAL,,21700 VLY RANCH CROSSING,PORTER,TX,77365,21700 VLY RANCH CROSSING,PORTER,TX,77365,(281) 577-8760,(281) 577-9209,newcaney@newcaneyisd.org,www.newcaneyisd.org,MRS LORIE ORUM   ,'EE-05,594,Active,9/1/06,7/24/13 5:35
'170908110,SORTERS MILL EL,REGULAR INSTRUCTIONAL,,23300 SORTERS RD,PORTER,TX,77365,23300 SORTERS RD,PORTER,TX,77365,(281) 577-8780,(281) 354-0164,newcaney@newcaneyisd.org,www.newcaneyisd.org,MR KERRY HAMILTON   ,'EE-05,593,Active,9/18/07,7/24/13 5:35
'170908111,BENS BRANCH ELELMENTARY,REGULAR INSTRUCTIONAL,,24160 BRIAR BERRY LN,PORTER,TX,77365,24160 BRIAR BERRY LN,PORTER,TX,77365,(281) 577-8700,(281) 354-4296,newcaney@newcaneyisd.org,www.newcaneyisd.org,MRS DIANE SCONZO   ,'EE-05,672,Active,9/11/06,7/24/13 5:35
'170908113,OAKLEY EL,REGULAR INSTRUCTIONAL,,22320 LOOP 494,NEW CANEY,TX,77357,22320 LOOP 494,NEW CANEY,TX,77357,(281) 577-5970,(281) 354-3384,newcaney@newcaneyisd.org,www.newcaneyisd.org,MRS PENNY PEACOCK   ,'EE-05,723,Active,8/2/11,7/24/13 5:35
'172905102,PEWITT EL,REGULAR INSTRUCTIONAL,,P O BOX 1106,OMAHA,TX,75571-1106,374 COUNTY RD 4318,OMAHA,TX,75571-1106,(903) 884-2404,(903) 884-3076,abarron@pewittcisd.net,pewittcisd.net,MRS AMY BARRON   ,'EE-05,557,Active, ,7/24/13 5:35
'174902002,CUSHING EL,REGULAR INSTRUCTIONAL,,P O BOX 337,CUSHING,TX,75760-0337,1165 W BEARKAT DR,CUSHING,TX,75760-0337,(936) 326-4234,(936) 326-4265,mpettit@cushingisd.org,www.cushingisd.org,MS MELANIE PETTIT   ,'EE-05,220,Active,7/1/97,7/24/13 5:35
